indicator,geo,sector,period,available_at,value,availability_basis,source_url,retrieved_at
construction,ES,construction,2024-09-01,2026-09-19,99.3,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2024-10-01,2026-09-19,99.1,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2024-11-01,2026-09-19,100.2,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2024-12-01,2026-09-19,101.1,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2025-01-01,2026-09-19,132.6,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2025-02-01,2026-09-19,131.7,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2025-03-01,2026-09-19,125.8,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2025-04-01,2026-09-19,123.7,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2025-05-01,2026-09-19,126.8,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
construction,ES,construction,2025-06-01,2026-09-19,126.5,retrieval_only_latest_revision,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/sts_copr_m?lang=EN&geo=ES&sinceTimePeriod=2024-01&untilTimePeriod=2026-08&s_adj=SCA&unit=I21&nace_r2=F,2026-09-19
